Amino_Acid_Code,Amino_Acid_Name,Count,Percentage
A,Alanine,31,3.69
B,Asx (Asp/Asn),0,0.0
C,Cysteine,21,2.5
D,Aspartic Acid,33,3.93
E,Glutamic Acid,50,5.96
F,Phenylalanine,58,6.91
G,Glycine,39,4.65
H,Histidine,23,2.74
I,Isoleucine,44,5.24
K,Lysine,37,4.41
L,Leucine,130,15.49
M,Methionine,16,1.91
N,Asparagine,55,6.56
O,Pyrrolysine,0,0.0
P,Proline,26,3.1
Q,Glutamine,42,5.01
R,Arginine,31,3.69
S,Serine,81,9.65
T,Threonine,39,4.65
U,Selenocysteine,0,0.0
V,Valine,50,5.96
W,Tryptophan,10,1.19
X,Xaa (Any),0,0.0
Y,Tyrosine,23,2.74
Z,Glx (Glu/Gln),0,0.0
